Entity,Code,Year,Number of severely food insecure people (million) (3-year average) | 00210071 || Value | 006132 || millions
Afghanistan,AFG,2015,5.099999904632568
Afghanistan,AFG,2016,5.300000190734863
Afghanistan,AFG,2017,6.300000190734863
Afghanistan,AFG,2018,6.400000095367432
Afghanistan,AFG,2019,7.5
Africa (FAO),,2015,219.8000030517578
Africa (FAO),,2016,236.8999938964844
Africa (FAO),,2017,252.6000061035156
Africa (FAO),,2018,268.1000061035156
Africa (FAO),,2019,298.70001220703125
Albania,ALB,2015,0.3000000119209289
Albania,ALB,2016,0.3000000119209289
Albania,ALB,2017,0.3000000119209289
Albania,ALB,2018,0.3000000119209289
Albania,ALB,2019,0.3000000119209289
Algeria,DZA,2015,5.199999809265137
Algeria,DZA,2016,5.099999904632568
Algeria,DZA,2017,4.699999809265137
Algeria,DZA,2018,3.900000095367432
Algeria,DZA,2019,3.0
Angola,AGO,2015,5.900000095367432
Angola,AGO,2018,7.400000095367432
Angola,AGO,2019,8.600000381469727
Argentina,ARG,2015,2.5
Argentina,ARG,2016,3.799999952316284
Argentina,ARG,2017,4.900000095367432
Argentina,ARG,2018,5.699999809265137
Argentina,ARG,2019,5.699999809265137
Armenia,ARM,2017,0.050000000745058
Armenia,ARM,2018,0.050000000745058
Armenia,ARM,2019,0.050000000745058
Asia (FAO),,2015,321.70001220703125
Asia (FAO),,2016,317.20001220703125
Asia (FAO),,2017,342.0
Asia (FAO),,2018,377.6000061035156
Asia (FAO),,2019,426.7999877929688
Australia,AUS,2015,0.699999988079071
Australia,AUS,2016,0.800000011920929
Australia,AUS,2017,0.8999999761581421
Australia,AUS,2018,1.0
Australia,AUS,2019,0.800000011920929
Austria,AUT,2015,0.050000000745058
Austria,AUT,2016,0.1000000014901161
Austria,AUT,2017,0.050000000745058
Austria,AUT,2018,0.050000000745058
Austria,AUT,2019,0.050000000745058
Azerbaijan,AZE,2015,0.050000000745058
Azerbaijan,AZE,2016,0.050000000745058
Azerbaijan,AZE,2017,0.050000000745058
Azerbaijan,AZE,2018,0.050000000745058
Azerbaijan,AZE,2019,0.050000000745058
Bangladesh,BGD,2015,20.700000762939453
Bangladesh,BGD,2016,19.600000381469727
Bangladesh,BGD,2017,18.5
Bangladesh,BGD,2018,17.200000762939453
Bangladesh,BGD,2019,17.100000381469727
Belgium,BEL,2019,0.1000000014901161
Bosnia and Herzegovina,BIH,2015,0.050000000745058
Bosnia and Herzegovina,BIH,2016,0.050000000745058
Bosnia and Herzegovina,BIH,2017,0.050000000745058
Bosnia and Herzegovina,BIH,2018,0.050000000745058
Bosnia and Herzegovina,BIH,2019,0.050000000745058
Botswana,BWA,2015,0.4000000059604645
Botswana,BWA,2016,0.4000000059604645
Botswana,BWA,2017,0.5
Botswana,BWA,2018,0.5
Botswana,BWA,2019,0.5
Brazil,BRA,2015,3.900000095367432
Brazil,BRA,2016,3.5999999046325684
Brazil,BRA,2017,3.5999999046325684
Brazil,BRA,2018,3.400000095367432
Brazil,BRA,2019,7.5
Bulgaria,BGR,2015,0.1000000014901161
Bulgaria,BGR,2016,0.2000000029802322
Bulgaria,BGR,2017,0.2000000029802322
Bulgaria,BGR,2018,0.1000000014901161
Bulgaria,BGR,2019,0.2000000029802322
Burkina Faso,BFA,2015,1.7999999523162842
Burkina Faso,BFA,2016,2.0
Burkina Faso,BFA,2017,2.299999952316284
Burkina Faso,BFA,2018,2.5
Burkina Faso,BFA,2019,3.0999999046325684
Cambodia,KHM,2015,2.5999999046325684
Cambodia,KHM,2016,2.200000047683716
Cambodia,KHM,2017,2.200000047683716
Cambodia,KHM,2018,2.200000047683716
Cambodia,KHM,2019,2.200000047683716
Cameroon,CMR,2019,6.900000095367432
Canada,CAN,2015,0.2000000029802322
Canada,CAN,2016,0.2000000029802322
Canada,CAN,2017,0.2000000029802322
Canada,CAN,2018,0.3000000119209289
Canada,CAN,2019,0.3000000119209289
Cape Verde,CPV,2018,0.050000000745058
Cape Verde,CPV,2019,0.050000000745058
Caribbean (FAO),,2019,16.299999237060547
Central African Republic,CAF,2019,2.900000095367432
Central America (FAO),,2015,10.899999618530272
